,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Added Fields that are greyed out and ,,,,,,,,,,,,,,,,,,,
CAN/US DESCRIPTION,CAN Supplier,CAD Manu/User CODES,,Notes,,Fields ,calculated for PFC viewing,,Netley Retail,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDWARE,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDWARE - SCREWS/CONNECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover Beige (Custom Lengths) (NEW),Hafele,H.290.12.490.CTS,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover White 8ft,Hafele,H.290.12.781,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover White 8ft (NEW),Hafele,H.290.12.790,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover Black 8ft,Hafele,H.290.12.380,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover Black 8ft (NEW),Hafele,H.290.12.390,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover Brown 8ft,Hafele,H.290.12.180,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover Brown 8ft (NEW),Hafele,H.290.12.190,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover Beige 8ft,Hafele,H.290.12.481,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover Beige 8ft (NEW),Hafele,H.290.12.490,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HANGING HARDWARE,,,,,,,,49,,50,,,,,,,,,,,,,,,,
Hanging Hardware Left,Hafele,H.290.02.715,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Hardware Right,Hafele,H.290.02.714,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HANGING HARDWARE COVER,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanging Hardware Cover Left White,Hafele,H.290.06.020,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Hardware Cover Left Black,Hafele,H.290.06.022,,,,Quantity,Cost per piece/inch x Total Cost,"53,54,55,56",,,,"57.58,59,60",,,,,,,,,,,,,,
Hanging Hardware Cover Left Brown,Hafele,H.290.06.025,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Hardware Cover Left Beige,Hafele,H.290.06.033,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Hardware Cover Right White,Hafele,H.290.06.040,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Hardware Cover Right Black,Hafele,H.290.06.042,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Hardware Cover Right Brown,Hafele,H.290.06.045,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Hardware Cover Right Beige,Hafele,H.290.06.053,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HINGES,,,,,,,,,,,,,,,,,,,,,,,,,,
Soft Close Hinges  ,,,,,,,,64,,65,,,,,,,,,,,,,,,,
Soft Close Hinge105' HalfOverlay (Closets),Marathon,M-105-C80B675F,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Soft Close Hinge110' Inset (Closets),Marathon,M-105-C80C675F,,,,,,,,,,,,,,,,,,,,,,,,
Softclose Plate 0mm (Closets & Garages),Marathon,M-105-89T02TQ,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Push to Open Hinges,,,,,,,,68,,,69,,,70,,,Inset,,,,,,,,,
Push Open Hinge Salice 110' (Closets),Hafele,H.329.17.802,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Push Open Hinge Salice 110' Inset (Closets),Hafele,H.329.17.803,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Push Open Plate Salice omm (Closets),Hafele,H.329.71.530,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Push Open Cylinder/Mount/Plate,Hafele,H.245.61.730,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Reg. Hinges,,,,,,,,,,,,,,,,,,,,,,,,,,
Soft Close Hinge 110' Full Overlay (Garage),Marathon,M-105-C80A675F,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
45' Hinges,,,,,,,,,,,,,,,,,,,,,,,,,,
45' Hinge Softclose (Corner Units),Marathon,M-105-C80E675NF ,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LiftStay Hinges,,,,,,,,79,,,80,,81,,,,,,,,,,,,,
LiftStay Soft Close Hinge 107' Qty1 (H=9-15 W=22-49),Marathon,M-105-SQ02AL,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
LiftStay Push-to-Open Hinge 107' Qty1 (H=9-15 W=22-49)                ,Marathon,M-105-SQ0P2-AL,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Liftstay Limiter 75' Qty 1,Marathon,M-105-SQW75,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Liftstay Cover - White Qty 1,Marathon,M-105-SQJS-W,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Swing-Up Liftstay (new item),Hafele,H.372.27.701,,,,,,,,,,,,,,,,,,,,,,,,
SLIDES,,,,,,,,,,,,,,,,,,,,,,,,,,
UNDERMOUNT SLIDES,,,,,,,,,,,,,,,,,,,,,,,,,,
"Undermount Soft-Close Slide 300mm 12"" ",Marathon,M-105-DS10300H,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Undermount Soft-Close Slide 350mm 14"" ",Marathon,M-105-DS10350H,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Undermount Soft-Close Slide 400mm 16"" ",Marathon,M-105-DS10400H,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Undermount Soft-Close Slide 450mm 18"" ",Marathon,M-105-DS10450H,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Undermount Soft-Close Slide 550mm 22"" ",Marathon,M-105-DS10550H,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PUSH TO OPEN SLIDES,,,,,,,,,,,,,,,,,,,,,,,,,,
"Push to Open Soft-Close Slide 300mm 12""",Marathon,M-105-DF10-300H,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Push to Open Soft-Close Slide 350mm 14""",Marathon,M-105-DF10-350H,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Push to Open Soft-Close Slide 400mm 16""",Marathon,M-105-DF10-400H,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Push to Open Soft-Close Slide 450mm 18""",Marathon,M-105-DF10-450H,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Push to Open Soft-Close Slide 550mm 22""",Marathon,M-105-DF10-550H,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Synch Rod for Push to Open Slide,Marathon,M-105-HT0FH02,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SIDE MOUNT SLIDES,,,,,,,,,,,,,,,,,,,,,,,,,,
"Side Mount Softclose 12""",Marathon,M-372-NJ35D65-12,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Side Mount Softclose 14""",Marathon,M-372-NJ35D65-14,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Side Mount Softclose 16""",Marathon,M-372-NJ35D65-16,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Side Mount Softclose 18""",Marathon,M-372-NJ35D65-18,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Side Mount Softclose 22""",Marathon,M-372-NJ35D65-22,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Floating Shelf Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOATING SHELF HARDWARE,,,,,,,,106,,107.00,,,,108 109,,,,,,,,,,,,
Floating Shelf Hardware Kit - Comes as Qty 2,Richelieu,S.BP1622G,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Floating Shelf Concealed Bracket - Qty 1,Richelieu,S.1621512G,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Floating Shelf Rail - (Custom Length),Richelieu,S.1622410.CTS,,Add $3.00 Cut Charge for every Quantity,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
